"Name","Team","PA","AB","1B","2B","3B","HR","R","RBI","SB","BB%","K%","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","playerid"
"Bryson Stott","PHI","466","427","69","19","2","10","58","49","12","7.7%","19.1%",".274",".234",".295",".358",".289","83","1.4","26294"
"Brandon Crawford","SFG","458","407","68","15","2","9","50","52","1","8.5%","21.4%",".280",".231",".308",".344",".289","87","2.0","5343"
"Jesus Aguilar","- - -","507","464","74","19","0","16","39","51","1","5.5%","23.5%",".278",".235",".281",".379",".288","86","-0.4","11342"
"Tony Kemp","OAK","558","497","84","24","2","7","61","46","11","8.1%","12.4%",".259",".235",".307",".334",".287","91","1.5","14894"
"Owen Miller","CLE","472","424","70","26","1","6","53","51","2","6.8%","19.7%",".290",".243",".301",".351",".287","85","0.6","24655"
"Joey Gallo","- - -","410","350","27","8","2","19","48","47","3","13.7%","39.8%",".219",".160",".280",".357",".286","85","0.6","14128"
"Isiah Kiner-Falefa","NYY","531","483","102","20","0","4","66","48","22","6.6%","13.6%",".296",".261",".314",".327",".285","85","1.3","16512"
"Yuli Gurriel","HOU","584","545","84","40","0","8","53","53","8","5.1%","12.5%",".266",".242",".288",".360",".285","85","-0.9","19198"
"Cody Bellinger","LAD","550","504","57","27","3","19","70","68","14","6.9%","27.3%",".255",".210",".265",".389",".284","83","1.7","15998"
"Robbie Grossman","- - -","477","411","59","19","1","7","40","45","6","11.7%","27.0%",".283",".209",".310",".311",".283","82","-0.3","5254"
"Cesar Hernandez","WSN","617","560","106","28","4","1","64","34","10","7.3%","18.5%",".309",".248",".311",".318",".283","79","0.5","10556"
"Michael Chavis","PIT","426","401","59","16","3","14","39","49","1","4.5%","29.6%",".294",".229",".265",".389",".282","80","-0.6","17321"
"Jorge Mateo","BAL","533","494","64","25","7","13","63","50","35","5.1%","27.6%",".286",".221",".267",".379",".281","82","2.8","17273"
"Trent Grisham","SDP","524","451","48","16","2","17","58","53","7","10.9%","28.6%",".231",".184",".284",".341",".280","83","2.1","18564"
"Enrique Hernandez","BOS","402","361","50","24","0","6","48","45","0","8.5%","17.7%",".257",".222",".291",".338",".280","75","0.5","10472"
"Franmil Reyes","- - -","473","438","64","17","2","14","43","47","2","6.3%","33.2%",".307",".221",".273",".365",".280","80","-1.1","14566"
"Rougned Odor","BAL","472","426","53","19","3","13","49","53","6","6.8%","23.1%",".244",".207",".275",".357",".278","80","0.4","12282"
"Jared Walsh","LAA","454","423","56","18","2","15","41","44","2","5.9%","30.4%",".281",".215",".269",".374",".278","78","-0.6","18607"
"Jeimer Candelario","DET","467","429","59","19","2","13","49","50","0","6.0%","23.3%",".257",".217",".272",".361",".277","80","-0.1","13621"
"Miguel Cabrera","DET","433","397","86","10","0","5","25","43","1","6.5%","23.3%",".324",".254",".305",".317",".275","79","-1.5","1744"
"Yoan Moncada","CHW","433","397","53","18","1","12","41","51","2","7.4%","26.3%",".265",".212",".273",".353",".275","76","0.9","17232"
"Adam Frazier","SEA","602","541","100","22","4","3","61","42","11","7.6%","12.1%",".268",".238",".301",".311",".274","81","1.1","15223"
"Spencer Torkelson","DET","404","360","48","16","1","8","38","28","0","9.2%","24.5%",".255",".203",".285",".319",".272","76","-1.0","27465"
"Alek Thomas","ARI","411","381","62","17","1","8","45","39","4","5.4%","18.0%",".263",".231",".275",".344",".272","71","0.5","23792"
"Nick Senzel","CIN","420","373","68","13","0","5","45","25","8","7.1%","18.1%",".276",".231",".296",".306",".272","66","-0.6","19293"
"Miguel Rojas","MIA","507","471","84","19","2","6","34","36","9","5.1%","12.0%",".258",".236",".283",".323",".268","73","1.2","7802"
"Kole Calhoun","TEX","424","388","49","14","1","12","36","49","3","6.4%","32.1%",".263",".196",".257",".330",".260","67","-1.1","11200"
"Victor Robles","WSN","407","366","64","10","2","6","42","33","15","4.2%","25.6%",".292",".224",".273",".311",".260","64","0.3","18363"
"Myles Straw","CLE","596","535","93","22","3","0","72","32","21","9.1%","14.6%",".261",".221",".291",".273",".257","64","2.0","17620"
"Geraldo Perdomo","ARI","500","431","67","10","2","5","58","40","9","10.0%","20.6%",".243",".195",".285",".262",".253","58","0.6","22799"
"Taylor Walls","TBR","466","407","42","18","2","8","53","33","10","11.2%","25.8%",".221",".172",".268",".285",".252","66","-0.5","22458"
"Nicky Lopez","KCR","480","436","83","12","4","0","51","20","13","6.0%","13.1%",".265",".227",".281",".273",".251","57","1.2","19339"
"Jonathan Schoop","DET","510","481","62","23","1","11","48","38","5","3.7%","21.0%",".234",".202",".239",".322",".245","57","1.5","11265"
